source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Ana Paula Amaro,,Daniel Batista todas temos dias daqueles ... mesmo c a conta recheada ...,,,,,,,,,
Kimzeh Hezmik,, rabanadas,,,,,,,,,
Daniel Batista,," uuu i know what you mean ;) 202 reações ao comentário, será que podia fazer vida disto??",,,,,,,,,
Kimzeh Hezmik,, bota para a frente... Tens o meu apoio!,,,,,,,,,
Lory Brunetti,,Daniel si non ha una gran faccia felice 😄,,,,,,,,,
Khoa Hoang,,Daniel Batista,,,,,,,,,
Ammar Sabilar Rasyad,,Hahahahaah 😂,,,,,,,,,
Clove Sigit,,Bota frente,,,,,,,,,
Pham Thu Ha,,"Don't merry christmas, marry me 😍 🇻🇳",,,,,,,,,
Mario Luarasi,,"hey forget about cr7 ,  i am here for u",,,,,,,,,
Lương Tuấn Ngọc,,"Mario Luarasi hey dude, that's my sis :/",,,,,,,,,
Oladapo E. Adejumo,,Don't be like that. Your boyfriend will be angry now.,,,,,,,,,
Rishab Gharat,,,,,,,,,,,
Anabela Deep,,Pham Thu Ha that's impossible really 😐I'm portugues i know that 😊,,,,,,,,,
Md Shamul Islam Siam,,The Best (Football) Player  In The World Merry Cristmas CR7  Love From Bangladesh 🇧🇩🇧🇩,,,,,,,,,
,,,,,,,,,,,
Sazid Hossain Supto,,হাহাপগে,,,,,,,,,
Youssof Hotak,,Md Shamul Islam Siam in Islam Haram to say Merry Christmas,,,,,,,,,
Kelvin  Fu,,Kamran Mohammed *lebron dislikes this comment*,,,,,,,,,
Supriyo Mondal,,Bartosz Olkowski  you are a racist motherfkr,,,,,,,,,
Victor Nuszkiewicz,,"As Alpha hey im polish too and pretty well educated,bangladesh is an overpopulated country and your people are islamized indians.not to offend, just stating facts.oh yeah and stay away from poland",,,,,,,,,
Hasib Al Hasan,,Md Shamul Islam Siam  মেসি মেক্সি পড়ছে,,,,,,,,,
As Alpha,,#Victor_Nuszkiewicz Bangladesh is not an islamized country and we are not Indians.This is a secular country.And you don't need to talk about staying away from Poland.because our people do not visit there. :) Anyway I love Lewandowski so much T_T,,,,,,,,,
Victor Nuszkiewicz,,"As Alpha  haha no? i can Name you at least 5 kebab Shops in poland where bangladeshis are working :D yes you are ethnical Indians..and you are also islamized.or why has every single one of you an arabic-islamic Name? by the way,its funny how you People comment like pros but football wise there isnt much to be mentioned now is there",,,,,,,,,
Victor Nuszkiewicz,,"As Alpha also careful who you call uneducated, poland has one of the hardest and best educational Systems in the world.. we dont only go madrassa to learn fairytales like you guys ;DDDD",,,,,,,,,
Sàndéęp Pàthì,,As Alpha Bangladesh is not a secular country numerous attacks on minorities takes place by Muslim majority and destroy others temples,,,,,,,,,
Wo Fa,,Who is the best player right  now 1- like for #Ronaldo 👍🇵🇹 2- love for #salah ❤🇪🇬 3- wow for #hazard 😮🇧🇪 4- haha for #messi 😆🇦🇷 5. Sad for #Neymar 😢🇧🇷 6. Angry for #Mbape 😡🇫🇷,,,,,,,,,
,,,,,,,,,,,
Abdulrazaq Baganzi Ibun Musa,,CR7,,,,,,,,,
Ivo Vieira,,What does it has to do with Cristiano's post? Hunting likes and comments with nonsense! He was wishing us Merry christmas just that dude!,,,,,,,,,
Sandro Marques,,Feliz natal Ronaldo e para tua familia,,,,,,,,,
POpov YOns,,لله عليك يا فخر العرب 😁,,,,,,,,,
Angelic Malak,,FAKHR 3ARAB,,,,,,,,,
Моха Ммад,,أبو مكه,,,,,,,,,
Mesrafet Oumaima,,Tä Lïn dnya m3mra bl msryin hy3bdo salah kshma thbi n3gbo lila l msryin mnykin,,,,,,,,,
Haitem Prin Ce,,Like for djilali,,,,,,,,,
Mohammad Ahmed,,Messi and Christiano both are the best players in the world ❤️🔥,,,,,,,,,
,,,,,,,,,,,
Sahaar Raj NB,,Who is the best player right  now 1- like for #Ronaldo 👍🇵🇹 2- love for #salah ❤🇪🇬 3- wow for #hazard 😮🇧🇪 4- haha for #messi 😆🇦🇷 5. Sad for #Neymar 😢🇧🇷 6. Angry for #Mbape 😡🇫🇷,,,,,,,,,
Linkin Xinxian,,Another joke by putting off messi😂😂😂,,,,,,,,,
Ro Ko Ko,,❌❌❌,,,,,,,,,
Sahaar Raj NB,, Ani Deya Mazaq Ay,,,,,,,,,
Louai Adda,,And me 👌💪👑😂,,,,,,,,,
Şalmañ Śimbą,,no no say ronaldo n messi  ronaldo is the first and messi is second,,,,,,,,,
Sarah Uwk,,And salah soon❤❤,,,,,,,,,
Syed Maaz,,"Shut up haters, cris n messi both are the best & next year in 2020 they both will break josef bican's 800 goals record, n cris will be the first to do it.",,,,,,,,,
Maria Luzia Ferreira,,Feliz natal 🎄 nossa olha a cara de felicidade da mulher do Cristiano Ronaldo 😂😂😂,,,,,,,,,
Maria Tormenta,,Verdade nao esta co boa cara nao,,,,,,,,,
Khoa Hoang,,Maria Luzia Ferreira,,,,,,,,,
محمد جبر,,Salmee your nation,,,,,,,,,
Andrea Narciso,,Maria Luzia Ferreira verdade!!! Que cara horrível!!! Nunca estão satisfeitas!!!😂😂😂😂😂😂😂😂,,,,,,,,,
Pedro Paulo Jofre,,Feliz Natal CR7 o melhor de todos os tempos.Deus abençoe vc e sua familia,,,,,,,,,
Tahamimul Hasan,,torar mar heda bolos kicchu buji nah english a bol nah👿👿👿,,,,,,,,,
Ebrhm Khaled,,محمد صلاح برقبته يشوية اجانب 😂,,,,,,,,,
Mømen Alfanatsah UF,,الله على اخلاقك يا فخر العرب,,,,,,,,,
Wagner Sousa,,"olha minha foto, sou parecido com o CR7",,,,,,,,,
João Pedro de Oliveira,,Messi?,,,,,,,,,
Wedson Jacobsen,,Wagner Sousa você é um CR7 pobre kkkk,,,,,,,,,
Leonardo Cunha,,"Um dos melhores, atrás do Ronaldinho gaúcho",,,,,,,,,
Ruy Clington,,Se finta fosse ser melhor de todos os tempos aí sim né ?,,,,,,,,,
Keney Chris Keney,,Feliz Natal CR7,,,,,,,,,
احما سلفاهو,,Wagner Sousa  تشبه رونالدو ايه دا انت شبه بتاعي,,,,,,,,,
Larissa Siqueira,,Feliz natal robozão,,,,,,,,,
,,,,,,,,,,,
Miguel Ferreira,,O cara alí mó tarado,,,,,,,,,
Luisa Maria,,Feliz Natal,,,,,,,,,
عباس التميمي,,Larissa Siqueira Feliz navidad bicho de mi corazón ❤😊😍,,,,,,,,,
