source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Polpo di Stato,,2019-04-15 23:28:30,"""Ｒｉｖｏｌｕｚｉｏｎａｒｉ""： ｌａ　ｃｉｖｉｌｉｔà　ｏｃｃｉｄｅｎｔａｌｅ　ｄｅｖｅ　ａｎｄａｒｅ　ｉｎ　ｆｉａｍｍｅ Ｃｉｖｉｌｔà　ｏｃｃｉｄｅｎｔａｌｅ： ｌｅｔｔｅｒａｌｍｅｎｔｅ　ｖａ　ｉｎ　ｆｉａｍｍｅ ""Ｒｉｖｏｌｕｚｉｏｎａｒｉ""： ｅｈｉ　ｅｈｉ　ｅｈｉ　ａｎｄｉａｍｏｃｉ　ｐｉａｎｏ　ｃｏｎ　ｉ　ｍｅｍｅ．　ｓｉｅｔｅ　ｆａｓｃｉｓｔｉ　ｒｉｖｅｒｎｉｃｉａｔｉ",112,75,15,21,1,,,7,269919197294549,/story.php?story_fbid=269919197294549&id=237264647226671
Polpo di Stato,,2019-04-15 19:42:38,,39,32,1,5,1,,,,269553477331121,/story.php?story_fbid=269553477331121&id=237264647226671
Polpo di Stato,,2019-04-15 16:55:00,BOOM,33,27,1,3,2,,,2,269599293993206,/story.php?story_fbid=269599293993206&id=237264647226671
Polpo di Stato,,2019-04-15 16:33:00,"oh raga, tra poco molliamo uno smimirz che è una bomba",21,16,1,1,3,,,,269598270659975,/story.php?story_fbid=269598270659975&id=237264647226671
Polpo di Stato,,2019-04-15 12:25:19,la tempolinea è stata ripristinata correttamente,211,152,15,44,,,,14,269394314013704,/story.php?story_fbid=269394314013704&id=237264647226671
Polpo di Stato,,2019-04-15 09:36:10,oltre i cieli del realismo capitalista,107,80,7,20,,,,3,269542570665545,/story.php?story_fbid=269542570665545&id=237264647226671
Polpo di Stato,,2019-04-15 06:58:42,,65,51,5,9,,,,1,269512137335255,/story.php?story_fbid=269512137335255&id=237264647226671
Polpo di Stato,,2019-04-15 00:51:38,ｍａ　ｓｔａ　ｏｓｓｅｓｓｉｏｎｅ　ｃｈｅ　ｃ＇ａｖｅｔｅ　ｖｏｉ　ｔｅｒｒｅｓｔｒｉ　ｄｉ　ｔｅｍｐｏ　ｅ　ｓｐａｚｉｏ　ｅ　ｃｈｉｅｄｅｒｅ　ｓｅｍｐｒｅ　ｃｈｅ　ａｎｎｏ　ｅ＇ ｂｏｈ ｖｅｎｉｔｅ　ｃｏｎ　ｎｏｉ ｉｎ　ｆｏｎｄｏ　ａｌ　ｍａｒｅ　ｃｉ　ｓｔａｎｎｏ　ｉ　ｍｅｍｉ,87,73,,14,,,,1,268127137473755,/story.php?story_fbid=268127137473755&id=237264647226671
,,2019-04-14 09:37:39,,,,,,,,,,268998674053268,/ufi/reaction/profile/browser/?ft_ent_identifier=265624644390671&refid=17&_ft_=top_level_post_id.268998674053268%3Atl_objid.268998674053268%3Apage_id.237264647226671%3Aphoto_attachments_list.%5B268584434094692%2C268998674053268%5D%3Aphoto_id.268584434094692%3Astory_location.4%3Astory_attachment_style.album%3Apage_insights.%7B%22237264647226671%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A237264647226671%2C%22post_context%22%3A%7B%22story_fbid%22%3A%5B268998674053268%2C265624644390671%5D%2C%22publish_time%22%3A1555227459%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22object_fbtype%22%3A22%7D%2C%22actor_id%22%3A237264647226671%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A237264647226671%2C%22actor_id%22%3A237264647226671%2C%22role%22%3A1%2C%22post_id%22%3A268998674053268%2C%22share_id%22%3A0%7D%2C%7B%22page_id%22%3A237264647226671%2C%22actor_id%22%3A237264647226671%2C%22role%22%3A1%2C%22post_id%22%3A265624644390671%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.237264647226671%3A306061129499414%3A43%3A0%3A1556693999%3A-2974760074553570166&__tn__=%2AW-R#footer_action_list
Polpo di Stato,,2019-04-14 19:58:41,reachTEST#66 con un bel backflip 360° woahaaa,24,19,3,2,,,,2,269277950692007,/story.php?story_fbid=269277950692007&id=237264647226671
